Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-22,POSITIVO,COMPRA,140.95,70,9866.33,133.67,10000.0,,"Pix pelo WhatsApp: Bancos transformam plataforma em canal de pagamento com ajuda de IA PicPay, Itaú e Nubank usam IA generativa para permitir transferências via WhatsApp e reforçam o protagonismo do Brasil em serviços financeiros digitais | Pix pelo WhatsApp: Bancos transformam plataforma em canal de pagamento com ajuda de IA PicPay, Itaú e Nubank usam IA generativa para permitir transferências via WhatsApp e reforçam o protagonismo do Brasil em serviços financeiros digitais"
2025-10-28,NEGATIVO,VENDA,143.76,0,0.0,10197.17,10197.17,197.17,"Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28) | Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28)"
2026-03-14,NEGATIVO,MANTIDO (Zerado),118.99,0,0.0,10197.17,10197.17,,"Meta quer demitir 20% dos funcionários para investir em IA, diz agência Meta seguiria caminho de Amazon, Block e Atlassian, que também reduziram equipes citando avanços em IA; empresa nega | Mega-Sena: resultado do concurso 2984; prêmio é de R$ 73 milhões Sorteio do concurso 2.984 foi transmitido ao vivo pelo canal da Caixa no YouTube e no Facebook da Loterias Caixa"
2026-03-26,NEGATIVO,MANTIDO (Zerado),101.4,0,0.0,10197.17,10197.17,,"Impasse entre EUA e Irã derruba Wall Street; Nasdaq cai 2,38% Entre os papéis mais pressionados estiveram gigantes do setor de tecnologia, como Meta, Alphabet, Nvidia e Intel"
2026-04-02,NEGATIVO,MANTIDO (Zerado),106.5,0,0.0,10197.17,10197.17,,"Big techs perdem força e 'Magnificent 7' fecham trimestre no vermelho Ação da Microsoft teve o pior resultado, com queda de 23%, revisitando o desempenho mais fraco desde 2008. A Meta também recuou 13% na sua maior baixa desde 2022. Já a Nvidia caiu 6,5% no trimestre"
2026-04-03,NEGATIVO,MANTIDO (Zerado),106.5,0,0.0,10197.17,10197.17,,"Quem é quem no ‘A Turma’, grupo de WhatsApp de Vorcaro que articulava ataques a opositores Segundo a investigação da Polícia Federal (PF), ele servia para a prática de atos ilícitos, “muitos deles de caráter violento”"
2026-04-16,POSITIVO,COMPRA,120.5,84,10122.0,75.17,10197.17,,"Por que a Meta é a principal escolha entre as big techs agora? Morgan Stanley colocou a dona do Facebook, do Instagram e do WhatsApp à frente de Amazon e Alphabet, citando uma combinação de valuation mais baixo, crescimento projetado e novos gatilhos ligados à IA | AMD atinge máxima histórica e engata 12ª alta seguida desde 2005 Papéis sobem com otimismo no setor de tecnologia, revisão de preço-alvo por analistas e acordo com a Meta para fornecimento de GPUs, enquanto acumulam alta de 208% em 12 meses"
2026-04-18,NEGATIVO,VENDA,121.26,0,0.0,10261.01,10261.01,63.84,"Meta planeja demitir 8 mil funcionários em meio à aposta em IA, diz agência Outros cortes são esperados no 2º semestre; dados indicam que mais de 73 mil trabalhadores do setor de tecnologia perderam seus empregos apenas neste ano"
