Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-01-09,NEGATIVO,MANTIDO (Zerado),3.84,0,0.0,10000.0,10000.0,,"Cria do Casino, CFO do GPA renuncia — mais uma troca na era Coelho Diniz Rafael Russowsky era CFO e diretor de RI da companhia; o novo CEO, Alexandre Santoro, assume interinamente a função | GPA cai com saída de CFO; saúde e petrolíferas avançam — o que move o Ibovespa No radar dos investidores também estão os dados fracos de emprego dos EUA e a perspectiva de corte de juros no Brasil"
2026-02-25,NEGATIVO,MANTIDO (Zerado),3.05,0,0.0,10000.0,10000.0,,"O detalhe no balanço do GPA que acendeu um alerta sobre o futuro da empresa Varejista reduziu prejuízo e melhorou geração de caixa, mas despesas financeiras cresceram em maior proporção"
2026-03-03,NEGATIVO,MANTIDO (Zerado),2.65,0,0.0,10000.0,10000.0,,"GPA chega a cair 15% na bolsa: por que ação lidera baixas do Ibovespa? O GPA informou nesta terça que apresentou um pedido incidental de tutela cautelar na arbitragem contra o Casino | Ibovespa cai mais de 3%: GPA, Localiza e Vamos lideram perdas Entre as blue chips, os papéis da Vale (VALE3) e dos grandes bancos também recuavam e pressionam o principal índice em dia de aversão ao risco"
2026-03-04,POSITIVO,COMPRA,2.94,3401,9998.94,1.06,10000.0,,"GPA sobe mais de 14% no Ibovespa com plano de reestruturação da dívida A companhia confirmou nesta quarta, 4, que contratou o escritório Munhoz Advogados, especializado em reestruturação de dívidas"
2026-03-06,NEGATIVO,VENDA,2.87,0,0.0,9761.93,9761.93,-238.07,"O Pão de Açúcar vai fechar? Entenda a situação financeira da varejista Queda e forte recuperação das ações expõem o momento delicado do GPA, que vai ter de renegociar dívidas"
2026-03-10,NEGATIVO,MANTIDO (Zerado),2.62,0,0.0,9761.93,9761.93,,"GPA pede recuperação extrajudicial para quitar dívida de R$ 4,5 bi Dona do Pão de Açúcar protocola proposta que envolve obrigações sem garantia, principalmente com bancos | O que é recuperação extrajudicial e por que o GPA optou por ela? Reestruturação permite que empresas em dificuldades financeiras renegociem dívidas diretamente com credores, fora de um processo judicial tradicional | GPA tem uma das maiores baixas da bolsa com recuperação extrajudicial Grupo protocolou o pedido de homologação de um plano de recuperação extrajudicial para renegociar dívida bilionária"
2026-04-23,NEGATIVO,MANTIDO (Zerado),2.4,0,0.0,9761.93,9761.93,,"Fundos levaram quase metade de papéis de empresas em dificuldades Estudo mostra que carteiras somaram R$ 18,9 bilhões em títulos emitidos por Aegea, Raízen, Casas Bahia, Braskem, GPA e Ambipar"
