Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,POSITIVO,COMPRA,116.45,85,9898.57,101.43,10000.0,,"O que fez a Apple bater recorde de preço na bolsa e ultrapassar a Microsoft em valor de mercado Ações fecharam a sessão de segunda-feira, 20, em alta de 3,9% a US$ 262,24, marcando o maior fechamento de todos os tempos"
2025-10-28,NEGATIVO,VENDA,121.24,0,0.0,10406.83,10406.83,406.83,"Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28) | Ações globais caem à espera de decisão do Fed e balanços das big techs; ouro cai 2,5% Investidores aguardam balanços de Meta, Microsoft, Apple, Amazon e Alphabet que serão divulgados nesta quarta-feira (28)"
2025-10-29,NEGATIVO,MANTIDO (Zerado),118.16,0,0.0,10406.83,10406.83,,"Fed deve cortar juros, Microsoft divulga balanço: o que move o mercado Fed deve anunciar, às 15h, no horário de Brasília, um corte de 0,25 ponto percentual na taxa básica, levando os juros à faixa de 3,75% a 4,00% | Fed deve cortar juros, Microsoft divulga balanço: o que move o mercado Fed deve anunciar, às 15h, no horário de Brasília, um corte de 0,25 ponto percentual na taxa básica, levando os juros à faixa de 3,75% a 4,00% | Fed deve cortar juros, Microsoft divulga balanço: o que move o mercado Fed deve anunciar, às 15h, no horário de Brasília, um corte de 0,25 ponto percentual na taxa básica, levando os juros à faixa de 3,75% a 4,00%"
2026-01-29,NEGATIVO,MANTIDO (Zerado),94.74,0,0.0,10406.83,10406.83,,"Microsoft tem maior queda em seis anos após gastos recordes em IA A companhia divulgou em seus balanço do 4° trimestre de 2025 um crescimento mais lento nas vendas de serviços em nuvem, o que também alimentou preocupação dos investidores sobre o retorno desses investimentos | Microsoft perde US$ 357 bi em valor de mercado com a maior queda de ações desde 2020 Ao final do pregão, a companhia de software foi avaliada em US$ 3,22 trilhões"
2026-03-27,NEGATIVO,MANTIDO (Zerado),78.07,0,0.0,10406.83,10406.83,,"Ações da Microsoft caem e têm pior trimestre em quase 20 anos; veja Mercado questiona quando os gastos com IA vão gerar retorno, enquanto crescimento do Azure desacelera e produto Copilot ainda enfrenta dificuldades de adoção"
