Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-28,NEGATIVO,MANTIDO (Zerado),84.5,0,0.0,10000.0,10000.0,,"Criptomoedas e ouro crescem como ‘ativos do medo’, diz Larry Fink, da BlackRock Segundo o CEO, investidores migram para ativos alternativos porque estão cada vez mais preocupados com as crescentes pilhas de dívidas governamentais em todo o mundo | Criptomoedas e ouro crescem como ‘ativos do medo’, diz Larry Fink, da BlackRock Segundo o CEO, investidores migram para ativos alternativos porque estão cada vez mais preocupados com as crescentes pilhas de dívidas governamentais em todo o mundo"
2026-02-05,NEGATIVO,MANTIDO (Zerado),46.38,0,0.0,10000.0,10000.0,,"Aversão ao risco derruba Wall Street após dados de emprego e queda das techs Criptomoedas também despencaram nesta quinta, 5, e ampliaram a pressão vendedora nas principais bolsas dos Estados Unidos"
2026-04-03,POSITIVO,COMPRA,47.4,210,9954.0,46.0,10000.0,,Bitcoin sobe 6% e vai a seu maior patamar desde 8 de fevereiro Criptomoedas consolidam movimento positivo durante o conflito de Israel e EUA contra o Irã
2026-05-03,POSITIVO,MANTIDO (Comprado),50.85,210,10678.5,46.0,10724.5,,Bitcoin sobe e se consolida acima dos US$ 72 mil; alta desde o início da guerra chega a 15% Criptomoedas seguem registrando ganhos em movimento descorrelacionado com as bolsas internacionais
