Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-03-02,NEGATIVO,MANTIDO (Zerado),58.6,0,0.0,10000.0,10000.0,,"Ações da Petrobras e PRIO disparam no Ibovespa com conflitos no Irã Petrolíferas são destaque de alta em abertura negativa para o índice de referência do mercado acionário brasileiro | Ibovespa fecha em alta com avanço da Petrobras após ataque ao Irã; dólar sobe Volatilidade global levou à interrupção no fluxo de navios no Estreito de Ormuz e fez petróleo saltar mais de 7%; PRIO subiu 5,12%"
2026-03-03,NEGATIVO,MANTIDO (Zerado),55.57,0,0.0,10000.0,10000.0,,"PRIO é favorita de analistas para crise no Irã e desbanca Petrobras Para BTG e XP, empresa tem mais chances de capturar alta do preço do petróleo"
2026-03-11,NEGATIVO,MANTIDO (Zerado),61.13,0,0.0,10000.0,10000.0,,"PRIO tem prejuízo no 4º tri, mas mercado mantém confiança na 'queridinha' do petróleo Entre produção crescente, custos em queda e novos projetos entrando em operação, petroleira independente registrou resultados sólidos"
2026-03-12,NEGATIVO,MANTIDO (Zerado),59.0,0,0.0,10000.0,10000.0,,"Petrobras, PRIO, Brava e PetroReconcavo: ações de petroleiras reagem às medidas do governo Governo vai retirar PIS/Cofins do diesel e criar de imposto sobre exportação de petróleo"
2026-04-03,POSITIVO,COMPRA,67.0,149,9983.0,17.0,10000.0,,Petrobras é consenso das carteiras de abril e desbanca PRIO Carteiras mostram convergência em torno dos setores de energia e bancos tradicionais
