Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-02-24,POSITIVO,COMPRA,77.49,129,9996.21,3.79,10000.0,,"Meli tem lucro menor no 4º tri, mas operacional cresce dois dígitos Investimentos para atrair mais compradores pressionou margens, mas deu forte impulso em número de itens vendidos"
2026-03-23,POSITIVO,MANTIDO (Comprado),72.96,129,9411.84,3.79,9415.63,,"Depois de parceria com Meli, Casas Bahia também vai vender na Amazon O movimento conecta a estrutura digital e logística da Amazon com a capilaridade e reconhecimento da Casas Bahia"
2026-03-25,POSITIVO,MANTIDO (Comprado),70.84,129,9138.36,3.79,9142.15,,"Entrada em farmácia faria do Meli 'superplataforma de consumo essencial', diz BTG Analistas veem movimento como estratégico, com potencial de consolidar a companhia como um ecossistema de consumo essencial no longo prazo"
2026-03-26,NEGATIVO,VENDA,71.11,0,0.0,9176.98,9176.98,-823.02,"Como investimentos de Meli, Amazon e Shopee em logística afetam o frete das suas compras Expansão de galpões e centros de distribuição muda prazo, custo e até quem paga pela entrega"
2026-03-30,NEGATIVO,MANTIDO (Zerado),71.0,0,0.0,9176.98,9176.98,,"Frete grátis com dias contados? Até quando Meli e Amazon vão bancar essa conta Subsídio impulsiona crescimento, mas pressiona margens e levanta dúvidas sobre sustentabilidade do modelo"
