Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,NEGATIVO,MANTIDO (Zerado),62.85,0,0.0,10000.0,10000.0,,"Ações globais caem com investidores atentos às tarifas e aos balanços corporativos Cautela prevalece nos mercados com temores sobre tarifas e expectativa por balanços de gigantes como Coca-Cola, GE e Netflix, que divulgarão os resultados nesta terça-feira (21) | Ações globais caem com investidores atentos às tarifas e aos balanços corporativos Cautela prevalece nos mercados com temores sobre tarifas e expectativa por balanços de gigantes como Coca-Cola, GE e Netflix, que divulgarão os resultados nesta terça-feira (21)"
2026-02-02,POSITIVO,COMPRA,65.06,153,9953.73,46.27,10000.0,,Engarrafadora da Coca-Cola assume controle integral do Oxxo no Brasil Grupo mexicano Femsa concluiu separação com a Raízen e ficará com 611 lojas da rede no país e o centro de distribuição em Cajamar
2026-02-10,NEGATIVO,VENDA,65.6,0,0.0,10083.58,10083.58,83.58,Coca-Cola perde o gás e vendas do 4º tri frustram expectativas Lucro da companhia ficou estável; demanda em mercados chave desaqueceu
