Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,NEGATIVO,MANTIDO (Zerado),0.43,0,0.0,10000.0,10000.0,,"Dos bilhões aos centavos: entenda como a Ambipar chegou à recuperação judicial Em pouco mais de cinco anos listada na bolsa, a companhia foi de uma valorização de 700% em um ano a 'penny stock', rodeada por incógnitas | Ibovespa hoje: bolsa recua e dólar sobe a R$ 5,39; Ambipar desaba 29% Empresa de gestão de resíduos buscou proteção contra credores em meio à crise; Netflix culpa perda tributária no Brasil por resultado global abaixo do esperado | Ibovespa hoje: bolsa recua e dólar sobe a R$ 5,39; Ambipar desaba 29% Empresa de gestão de resíduos buscou proteção contra credores em meio à crise; Netflix culpa perda tributária no Brasil por resultado global abaixo do esperado"
2026-02-03,NEGATIVO,MANTIDO (Zerado),0.29,0,0.0,10000.0,10000.0,,"Ambipar teve sessão a portas fechadas e com presença externa na CVM Julgamento de recurso sobre oferta de ações em dezembro, que está em análise do TCU, causou constrangimento das equipes"
2026-04-23,NEGATIVO,MANTIDO (Zerado),0.22,0,0.0,10000.0,10000.0,,"Fundos levaram quase metade de papéis de empresas em dificuldades Estudo mostra que carteiras somaram R$ 18,9 bilhões em títulos emitidos por Aegea, Raízen, Casas Bahia, Braskem, GPA e Ambipar"
