Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-02-03,NEGATIVO,MANTIDO (Zerado),34.76,0,0.0,10000.0,10000.0,,"Prata dispara, Vivara cai — mas o Santander aponta que mercado exagerou Após queda das ações no começo de 2026 de 14%, o banco afirma que mercado exagerou ao punir os papéis da varejista de joalherias"
2026-03-19,NEGATIVO,MANTIDO (Zerado),29.46,0,0.0,10000.0,10000.0,,"Mario Leão deixará presidência do Santander. O substituto? O CEO da B3 Troca ocorrerá oficialmente ao final deste primeiro semestre, apurou a EXAME | Mario Leão fica no Santander até julho; substituto de Finkelsztain na B3 não foi definido Finkelsztain havia sido eleito para o conselho do Santander no ano passado e desistiu de nomeação"
2026-04-10,POSITIVO,COMPRA,31.58,316,9978.17,21.83,10000.0,,"Digitalização acende o apetite pelo microcrédito Historicamente dominado pelo Banco do Nordeste (BNB), esse segmento viu a consolidação do Santander, a expansão do Itaú e algumas idas e vindas da Caixa nos últimos anos"
2026-04-14,NEGATIVO,VENDA,31.56,0,0.0,9993.79,9993.79,-6.21,"‘O problema não é o crédito, são os juros muito altos’, diz economista-chefe do Santander Principalmente com os choques inflacionários vindo da Guerra do Irã e dos Estados Unidos, o mundo irá conviver com juros muito altos, afirma"
