Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-12-24,POSITIVO,COMPRA,12.66,789,9988.74,11.26,10000.0,,"C&A, Renner e Riachuelo: qual varejista de moda se saiu melhor em 2025? Apesar da Selic a 15% ao ano, as ações de Guararapes, C&A e Renner avançaram em 2025, desafiando o cenário adverso ao varejo"
2026-01-05,NEGATIVO,VENDA,10.58,0,0.0,8358.88,8358.88,-1641.12,"Por que o Ibovespa sobe hoje? Bolsa é puxada por Vale (VALE3) e bancos Entre as maiores baixas, C&A se destaca, com queda de mais de 10% | Por que as ações da C&A caíram mais de 15% na bolsa? Outras ações do varejo também operaram em queda no pregão, entre elas a Vivara e a Renner"
2026-01-06,NEGATIVO,MANTIDO (Zerado),10.64,0,0.0,8358.88,8358.88,,"O que disse o CEO da C&A antes da ação cair mais de 15% em um dia Na divulgação do balanço do 3º trimestre, Paulo Correa via C&A em nova fase, após fortalecer posição financeira | BTG vê C&A com vendas estagnadas e varejo pressionado por juros altos Ainda que inflação tenha desacelerado, custo de crédito segue como freio relevante ao consumo, diz o banco | UBS prevê trimestre mais fraco para C&A: 'vendas decepcionantes' Banco reduziu preço-alvo da ação da varejista, mas manteve recomendação de compra"
2026-01-09,NEGATIVO,MANTIDO (Zerado),10.75,0,0.0,8358.88,8358.88,,"C&A lidera quedas do Ibovespa na semana com temor sobre vendas do 4º tri As ações da C&A (CEAB3) lideraram as quedas do Ibovespa na semana encerrada nesta sexta-feira, 9, com desvalorização de 13,05%"
2026-02-12,NEGATIVO,MANTIDO (Zerado),12.51,0,0.0,8358.88,8358.88,,"C&A sobe 23% após tombo em janeiro e tenta virar o jogo no Ibovespa Desde o dia 5 de janeiro, quando os papéis despencaram 15,71%, a varejista acumula alta de 23,04% até o fechamento nesta quarta, 11"
2026-02-24,NEGATIVO,MANTIDO (Zerado),12.95,0,0.0,8358.88,8358.88,,"Discurso de Trump, balanço varejistas e Fed: o que move os mercados No calendário corporativo, investidores acompanham os resultados de Mercado Livre, C&A, Iguatemi e GPA | A temida previsão se confirmou: vendas da C&A ficam estagnadas no 4º tri Varejista atribui desempenho a temperaturas atípicas e ambiente promocional intenso: 'oferta não foi suficiente'"
