Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-27,NEGATIVO,MANTIDO (Zerado),92.28,0,0.0,10000.0,10000.0,,"Crises de dívida corporativa são casos pontuais, avaliam BlackRock, Itaú e Patria Em participação no Bloomberg Línea Summit 2025, Marina Tennenbaum, do Patria, Bruno Barino, da BlackRock, e Sylvio Castro, do Itaú, avaliam que o mercado de crédito continua saudável, apesar de situações de estresse recentes | Crises de dívida corporativa são casos pontuais, avaliam BlackRock, Itaú e Patria Em participação no Bloomberg Línea Summit 2025, Marina Tennenbaum, do Patria, Bruno Barino, da BlackRock, e Sylvio Castro, do Itaú, avaliam que o mercado de crédito continua saudável, apesar de situações de estresse recentes"
2025-10-28,NEGATIVO,MANTIDO (Zerado),90.8,0,0.0,10000.0,10000.0,,"O impacto crescente da IA nos negócios no Brasil Também no Breakfast: Setor privado tem que ser protagonista na agenda de desenvolvimento, defende CEO da JBS | A visão de BlackRock, Patria e Itaú sobre empresas em crise de crédito | O significado da vitória do partido de Milei para a Argentina | Criptomoedas e ouro crescem como ‘ativos do medo’, diz Larry Fink, da BlackRock Segundo o CEO, investidores migram para ativos alternativos porque estão cada vez mais preocupados com as crescentes pilhas de dívidas governamentais em todo o mundo | O impacto crescente da IA nos negócios no Brasil Também no Breakfast: Setor privado tem que ser protagonista na agenda de desenvolvimento, defende CEO da JBS | A visão de BlackRock, Patria e Itaú sobre empresas em crise de crédito | O significado da vitória do partido de Milei para a Argentina | Criptomoedas e ouro crescem como ‘ativos do medo’, diz Larry Fink, da BlackRock Segundo o CEO, investidores migram para ativos alternativos porque estão cada vez mais preocupados com as crescentes pilhas de dívidas governamentais em todo o mundo"
2026-02-03,NEGATIVO,MANTIDO (Zerado),85.42,0,0.0,10000.0,10000.0,,BlackRock vê tensões no Oriente Médio como ‘choque de volatilidade’ e evita desmonte indiscriminado de risco nas carteiras Estrategistas da maior gestora de ativos do mundo avaliam que o mais importante é por quanto tempo o conflito irá se estender
2026-04-10,NEGATIVO,MANTIDO (Zerado),76.45,0,0.0,10000.0,10000.0,,Temporada de resultados nos EUA: BlackRock considera previsões “otimistas demais” Projeções dos analistas permanecem elevadas em um momento de grande incerteza e risco de uma disparada das pressões de preços
2026-04-14,POSITIVO,COMPRA,80.44,124,9974.56,25.44,10000.0,,"ETF brasileiro da BlackRock tem maior entrada diária desde 2017 Movimento ocorre à medida que a retomada do apetite global por risco impulsiona uma alta no mercado acionário do Brasil | BlackRock vê crise no crédito privado como oportunidade CEO Larry Fink vê aumento na demanda por parte de grandes investidores institucionais | BlackRock capta US$ 130 bilhões em recursos de clientes no 1º trimestre com aumento de taxas Lucro por ação ajustado da maior gestora de ativos do mundo subiu 11% em relação ao ano anterior, para US$ 12,53, e supera estimativas | EWZ, ETF 'brasileiro' da BlackRock, tem maior captação em nove anos Retorno do investidor americano por mercados globais injetou US$ 337 milhões no fundo em um único dia"
2026-04-20,POSITIVO,MANTIDO (Comprado),78.97,124,9792.28,25.44,9817.72,,"Fundo ETF brasileiro da BlackRock tem o maior fluxo semanal em 15 anos Fundo já atraiu mais de US$ 3 bilhões em novos recursos no acumulado deste ano | EWZ: ETF brasileiro da BlackRock atrai o maior fluxo semanal em mais de 15 anos Segundo dados compilados pela Bloomberg, o iShares MSCI Brazil ETF (EWZ) registrou mais de US$ 966 milhões em entradas na semana encerrada em 17 de abril, seu maior fluxo semanal desde janeiro de 2011"
