Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,POSITIVO,COMPRA,89.73,111,9959.55,40.45,10000.0,,"GM dispara na bolsa após lucro acima do esperado e alívio com tarifas de Trump A montadora elevou a projeção de lucro ajustado antes de juros e impostos para até US$ 13 bilhões em 2025, acima da faixa anterior de até US$ 12,5 bilhões"
2026-01-09,NEGATIVO,VENDA,112.18,0,0.0,12492.66,12492.66,2492.66,"Ponto para a China: Após Ford e Tesla, GM também recua nos elétricos Recuo ocorre em meio à transição global no mercado de veículos elétricos, marcada pela ascensão da BYD"
2026-01-27,NEGATIVO,MANTIDO (Zerado),111.37,0,0.0,12492.66,12492.66,,"Prévia da inflação, trabalho e confiança nos EUA: o que move os mercados Os balanços de companhias como American Airlines, UnitedHealth, Boeing e GM também movimentam o radar corporativo nos EUA | GM sente queda na produção de elétricos, mas lucro aumenta no 4º tri Resultado ajustado subiu 13%, mas receita caiu com corte na produção de veículos elétricos"
