Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-20,NEGATIVO,MANTIDO (Zerado),136.96,0,0.0,10000.0,10000.0,,"Bolha de IA? Para esse operador da Goldman Sachs, não é bem assim Mike Washington, operador da divisão de bancos e mercados globais, avalia que o momento atual é sólido e distante de uma euforia irracional"
2025-10-27,NEGATIVO,MANTIDO (Zerado),141.14,0,0.0,10000.0,10000.0,,"Boom de IA ainda não é bolha, mas há sinais de excesso, segundo o Goldman Sachs Peter Oppenheimer, estrategista-chefe global de ações da Goldman Sachs Research disse, em relatório, que vê fundamentos ainda sólidos por trás do rali das big techs, embora sinais iniciais de excesso já acendam alertas | Boom de IA ainda não é bolha, mas há sinais de excesso, segundo o Goldman Sachs Peter Oppenheimer, estrategista-chefe global de ações da Goldman Sachs Research disse, em relatório, que vê fundamentos ainda sólidos por trás do rali das big techs, embora sinais iniciais de excesso já acendam alertas"
2026-01-23,NEGATIVO,MANTIDO (Zerado),161.32,0,0.0,10000.0,10000.0,,"Goldman Sachs surpreende e vai pagar bônus de US$ 45 milhões a CEO Fundado em 1869, o Goldman Sachs consolidou-se como uma das instituições financeiras mais tradicionais do mundo"
2026-02-13,NEGATIVO,MANTIDO (Zerado),161.35,0,0.0,10000.0,10000.0,,Diretora jurídica do Goldman Sachs renuncia após ser citada em caso Epstein Investigação sobre bilionário aumentou escrutínio sobre instituições financeiras dos EUA
2026-02-25,NEGATIVO,MANTIDO (Zerado),158.25,0,0.0,10000.0,10000.0,,"Investidores buscam ativos tangíveis em meio à incerteza da IA Ativos viram porto seguro diante das incertezas e do potencial disruptivo da inteligência artificial (IA), segundo o Goldman Sachs"
