Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-21,NEGATIVO,MANTIDO (Zerado),277.93,0,0.0,10000.0,10000.0,,"O Ben continuará com o Jerry: paralisação no governo dos EUA adia separação de marcas da Unilever Divisão de sorvetes — que inclui marcas como Magnum, Ben & Jerry’s e Cornetto — será desmembrada da Unilever e passará a operar de forma independente quando cisão for aprovada"
2026-03-21,NEGATIVO,MANTIDO (Zerado),323.4,0,0.0,10000.0,10000.0,,"Unilever e Kraft Heinz encerram negociações por fusão bilionária Conversas envolviam união de marcas como Heinz e Hellmann’s, mas foram interrompidas em meio à reavaliação estratégica das empresas"
2026-03-31,POSITIVO,COMPRA,287.74,34,9783.22,216.78,10000.0,,"Hellmann's terá novo dono: Unilever confirma negócio de US$ 45 bi com McCormick A operação reforça o portfólio da McCormick e deve impulsionar receitas com maior presença em molhos, pastas e condimentos"
