Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2026-01-08,POSITIVO,COMPRA,18.18,550,9997.12,2.88,10000.0,,"Bradesco mais que dobraria patrimônio sem dividendos, diz JP Morgan Relatório avalia que recapitalização de R$ 36 bilhões em dividendos elevaria o patrimônio do banco brasileiro | Petrobras, bancos e elétricas garantem alta do Ibovespa, apesar de Bradesco e Vale O principal índice da bolsa brasileira avançou 0,59%, aos 162.936 pontos na sessão desta quinta-feira, 9"
2026-01-15,POSITIVO,MANTIDO (Comprado),18.54,550,10196.74,2.88,10199.62,,"Ibovespa passa os 166 mil pontos e bate recorde pelo 2º dia seguido Índice é embalado pelo desempenho positivo de papéis de peso na composição, como Vale, Itaú e Bradesco"
2026-01-22,POSITIVO,MANTIDO (Comprado),19.95,550,10973.64,2.88,10976.51,,"Nubank supera Bradesco e se torna 2º maior banco do Brasil em clientes A fintech alcançou 112,0 milhões de clientes, segundo dados do Banco Central divulgados nesta quinta-feira, 22"
2026-01-26,POSITIVO,MANTIDO (Comprado),20.76,550,11416.04,2.88,11418.91,,"Bradesco atualiza valor de JCP com mudança no IR: veja como fica Nova regra reduz valor líquido por ação ordinária e preferencial | Quanto eu teria hoje se tivesse investido R$ 1 mil no Bradesco no começo do ano? Quem comprou o papel na abertura do dia 2 de janeiro de 2026 ganhou uma valorização líquida de 11,28%"
2026-02-05,POSITIVO,MANTIDO (Comprado),19.64,550,10799.7,2.88,10802.58,,"Bradesco divulga balanço do 4° trimestre hoje: veja o que esperar Expectativa dos grandes bancos é de um 4º tri forte em receitas e lucro para o Bradesco, mas com despesas elevadas e atenção ao guidance de 2026 | Bradesco tem lucro de R$ 6,5 bi no 4º trimestre de 2025, alta de 20,6% Banco divulgou resultados na noite desta quinta-feira (5) | ADR do Bradesco desaba em Nova York após balanço Baixa ocorre após a divulgação do balanço da instituição financeira, que registrou lucro líquido de R$ 6,5 bilhões no quarto trimestre de 2025"
2026-02-06,NEGATIVO,VENDA,20.44,0,0.0,11245.36,11245.36,1245.36,"Ibovespa opera sem direção definida pressionado pelos bancos Mercado repercute resultados do Bradesco (BBDC4) e da Amazon (AMZO34) | Ação do Bradesco desaba após balanço: entenda o motivo Empresa entregou lucro dentro do esperado, mas um detalhe do balanço não agradou os analistas | IPO de empresa brasileira este ano é só no exterior, diz CEO do Bradesco Para Marcelo Noronha, o ambiente este ano tende a ser mais favorável para follow-ons no mercado local e abertura de capital de empresas brasileiras nos EUA | Não vamos abrir mão de investimentos por nada, diz CEO do Bradesco Ações do banco recuam nesta sexta, 6, por conta do ""guidance conservador"". Noronha rebate: 'Mercado cobra mais do que os chefes'"
2026-02-27,POSITIVO,COMPRA,20.57,546,11230.41,14.95,11245.36,,"Bradesco cria conglomerado de saúde com receita de R$ 52 bi e ações na bolsa Nova holding concentra todos os ativos de saúde do Bradesco dentro da Odontoprev e nasce com 13 milhões de beneficiários | Bradsaúde pode valer R$ 50 bi no 'maior IPO reverso do país', diz Bradesco Operação foi estruturada como uma incorporação reversa da Odontoprev. Segundo o CEO do Bradesco, junção será ""tudo de bom"" para acionistas, incluindo os minoritários | Bradesco lidera altas do Ibovespa: 'Bradsaúde destrava valor', diz CEO Executivos do banco afirmam que nova operação leva o mercado a reavaliar o banco e pode gerar ganho adicional aos acionistas | Ação da Odontoprev, futura Bradsaúde, sobe quase 30% com reestruturação Operação que transforma a companhia na holding de saúde do Banco Bradesco deve elevar múltiplos da ação, dizem analistas"
2026-04-01,POSITIVO,MANTIDO (Comprado),18.53,546,10118.25,14.95,10133.2,,"Marcelo Noronha é eleito presidente do conselho da Confederação Nacional das Instituições Financeiras O CEO do Bradesco sucede a Mario Leão, CEO do Santander Brasil, que conclui seu mandato de três anos à frente da entidade | Tivio Capital lança com Bradesco Previdência fundo contendo mix de ativos imobiliários Num único veículo, o fundo batizado como Bradesco Tivio Prev Imobiliário tem exposição dinâmica em outros fundos imobiliários, no Brasil e no exterior (os chamados REITs), ações, CRI e debêntures destinadas ao financiamento do setor"
