Data,Sentimento,Decisão,Preço Unitário,Qtd. Ações,Valor Investido,Caixa Livre,Patrimônio Total,Lucro/Prejuízo,Resumo da Notícia
2025-10-20,POSITIVO,COMPRA,162.17,61,9892.34,107.66,10000.0,,"Famílias americanas lucram US$ 5 trilhões com ações de IA, diz JPMorgan Banco calcula que o avanço das ações ligadas à inteligência artificial pode elevar o consumo das famílias em até 0,9%"
2026-01-21,NEGATIVO,VENDA,160.75,0,0.0,9913.31,9913.31,-86.69,"CEO do JP Morgan diz que teto de cartão nos EUA seria 'desastre econômico' CEO do JPMorgan sugere limitar taxas a 10% apenas em Vermont e Massachusetts, como resposta à proposta de Trump"
2026-01-22,NEGATIVO,MANTIDO (Zerado),160.26,0,0.0,9913.31,9913.31,,Trump processa JPMorgan e o CEO Jamie Dimon em US$ 5 bilhões Advogado do presidente dos EUA diz que maior banco do país encerrou contas do clã do republicano de forma unilateral
2026-04-20,NEGATIVO,MANTIDO (Zerado),157.1,0,0.0,9913.31,9913.31,,"Choque no alumínio pode levar preço do metal a US$ 4 mil por tonelada JPMorgan projeta maior déficit de oferta do metal em mais de duas décadas; indústria automotiva da Ásia busca alumínio russo como alternativa, segundo informações da Bloomberg"
